genres,id,original_title,tagline
"['Drama', 'Mystery']",20156,Exotica,"In a world of temptation, obsession is the deadliest desire."
"['Thriller', 'Comedy', 'Crime', 'Romance']",18395,Exit to Eden,"To crack this case, these two cops will have to flash more than their badges."
"['Comedy', 'Drama', 'History']",522,Ed Wood,"When it came to making bad movies, Ed Wood was the best."
"['Comedy', 'Romance']",397,French Kiss,
"['Comedy', 'Drama', 'Romance']",10525,Forget Paris,
"['Action', 'Adventure', 'Drama', 'Family']",27985,Far from Home: The Adventures of Yellow Dog,Partners in survival. Friends for life.
"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",15789,A Goofy Movie,It's the story of a father who couldn't be closer...to driving his son crazy.
"['Drama', 'Thriller']",27303,Hideaway,He was bought back from the dead... but he didn't come back alone.
"['Drama', 'Family', 'Fantasy']",21183,Fluke,Unleash your imagination... and come along on a magical journey. Follow him home.
"['History', 'Drama']",10954,Farinelli,Où s'arrête le pouvoir de sa voix?
"['Drama', 'Family', 'Fantasy']",47867,Gordy,The talking pig who made it big!
"['Fantasy', 'Animation', 'Science Fiction', 'Family']",43475,Gumby: The Movie,The original green hero!
"['Drama', 'Action', 'Thriller', 'Crime']",72031,The Glass Shield,In a world filled with violence... his only weapon is the truth!
['Documentary'],14275,Hoop Dreams,An Extraordinary True Story.
"['Drama', 'Fantasy']",1024,Heavenly Creatures,From a secret world no one could see... came a crime no one could believe.
"['Comedy', 'Family']",17207,Houseguest,
"['Drama', 'Music', 'Romance']",13701,Immortal Beloved,
"['Comedy', 'Family', 'Drama']",14819,Heavyweights,They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.
"['Action', 'Thriller']",32631,The Hunted,He's trapped in a world where killing is an art and revenge is an obsession
"['Comedy', 'Drama', 'Romance']",11777,I.Q.,Think Love.
"['Horror', 'Romance']",628,Interview with the Vampire,Drink from me and live forever
"['Drama', 'Romance']",87729,Jefferson in Paris,A powerful man torn between his love for one woman and his secret desire for another.
"['Comedy', 'Crime']",18713,The Jerky Boys,
"['Comedy', 'Family', 'Romance']",6280,Junior,Nothing is inconceivable
"['Action', 'Drama', 'Mystery', 'Thriller']",9061,Just Cause,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.
"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",37108,A Kid in King Arthur's Court,Joust Do It.
"['Action', 'Crime', 'Drama', 'Thriller']",6071,Kiss of Death,
"['Adventure', 'Action', 'Science Fiction']",11,Star Wars,"A long time ago in a galaxy far, far away..."
"['Drama', 'Romance']",9587,Little Women,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
"['Drama', 'Family', 'Fantasy']",19101,A Little Princess,Every girl everywhere is a princess.
['Drama'],49980,Ladybird Ladybird,
"['Crime', 'Drama']",17961,L'Enfer,
"['Drama', 'Romance']",18183,Como agua para chocolate,"In Tita's kitchen, ordinary spices become a recipe for passion."
"['Adventure', 'Drama', 'Romance', 'War']",4476,Legends of the Fall,After the Fall from Innocence the Legend begins.
"['Adventure', 'Comedy', 'Family']",11008,Major Payne,He's looking for a few good men... or a few guys old enough to shave.
"['Action', 'Drama']",47504,Little Odessa,Brothers in blood. Partners in crime.
"['Crime', 'Drama']",32325,Mi Vida Loca,Mothers. Warriors. Sisters. Survivors.
"['Drama', 'Romance']",43742,Love Affair,
['Drama'],28313,Losing Isaiah,Who decides what makes a mother?
"['Comedy', 'Drama', 'History']",11318,The Madness of King George,
"['Drama', 'Horror', 'Science Fiction', 'Romance']",3036,Frankenstein,Be Warned.  It's Alive
"['Action', 'Comedy', 'Family']",40490,Man of the House,Jack wants to marry Ben's mother. But there are strings attached.
"['Comedy', 'Drama', 'Romance']",24070,Mixed Nuts,
"['Comedy', 'Romance']",8986,Milk Money,You can't get enough of a good thing... But first you have to find it.
"['Fantasy', 'Drama', 'Family']",10510,Miracle on 34th Street,"If you really believe, anything can happen."
"['Comedy', 'Romance']",17402,Miami Rhapsody,Love is great. Marriage is a completely different affair.
"['Comedy', 'Drama']",38722,My Family,Three generations of dreams.
"['Crime', 'Drama']",8438,Murder in the First,The trial that brought down Alcatraz
"['Drama', 'Comedy']",11593,Nobody's Fool,In a town where nothing ever happens... everything is about to happen to Sully.
"['Drama', 'Thriller']",1945,Nell,Her heart. Her soul. Her language are a mystery...A mystery called Nell
"['Crime', 'Drama']",39310,New Jersey Drive,The Only Thing That Matters Is The Ride
"['Action', 'Thriller', 'Crime', 'Drama']",109560,New York Cop,The toughest city in the world deserves the toughest cop.
['Horror'],56428,Beyond Bedlam,Psychological Terror Beyond Your Wildest Nightmares
"['Science Fiction', 'Action', 'Thriller']",63105,Nemesis 2 - Nebula,The Future Just Got Darker
"['Drama', 'Romance']",131957,Nina Takes a Lover,Sometimes you have to break your vow to keep your promise.
"['Crime', 'Thriller', 'Drama']",241,Natural Born Killers,The Media Made Them Superstars.
"['Comedy', 'Drama', 'Romance']",9058,Only You,A love story written in the stars.
['Drama'],527,Once Were Warriors,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
"['Drama', 'Romance', 'Thriller']",18220,Poison Ivy II: Lily,Passion. Seduction. Betrayal. Lily wanted to be just like Ivy.
"['Action', 'Drama', 'Science Fiction', 'Thriller']",6950,Outbreak,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
"['Thriller', 'Crime', 'Drama']",101,Léon,"If you want a job done well, hire a professional."
"['Comedy', 'Drama', 'Romance']",63020,The Perez Family,"On the way to finding a family, she found love."
"['Comedy', 'Drama', 'Romance']",2307,A Pyromaniac's Love Story,
"['Thriller', 'Crime']",680,Pulp Fiction,Just because you are a character doesn't mean you have character.
['Drama'],41478,Panther,The People Called Them Heroes. The F.B.I. Called Them Public Enemy Number One.
"['Comedy', 'Drama']",25296,Pushing Hands,
"['Drama', 'Romance']",40156,Priest,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth."
"['History', 'Drama']",11450,Quiz Show,Fifty million people watched but no one saw a thing.
"['Drama', 'History']",30304,Picture Bride,
"['Drama', 'History']",10452,La Reine Margot,
"['Action', 'Western']",12106,The Quick and the Dead,Think you are quick enough?
"['Drama', 'Comedy']",161495,Roommates,
"['Drama', 'Comedy']",3586,Prêt-à-Porter,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
"['Drama', 'Mystery', 'Romance']",110,Trois couleurs : Rouge,
"['Drama', 'Music', 'Mystery']",108,Trois couleurs : Bleu,
"['Comedy', 'Drama', 'Mystery']",109,Trois couleurs : Blanc,
['Drama'],159185,Pao Da Shuang Deng,
"['Comedy', 'Family', 'TV Movie']",36357,Rent-a-Kid,
"['Horror', 'Drama']",92769,Relative Fear,Trusting your children can be deadly.
"['Comedy', 'Drama']",28033,Stuart Saves His Family,
['Animation'],22586,The Swan Princess,An enchanting classic destined to capture your heart and free your spirit.
"['Drama', 'Family', 'Fantasy']",14334,The Secret of Roan Inish,Between land and sea there is a place where myths are real.
"['Action', 'Thriller']",2636,The Specialist,The government taught him to kill. Now he's using his skills to help a woman seek revenge against the Miami underworld.
"['Action', 'Adventure', 'Science Fiction']",2164,Stargate,It will take you a million light years from home. But will it bring you back?
"['Fantasy', 'Drama', 'Comedy', 'Family']",11395,The Santa Clause,What if your dad was Santa Claus?
"['Drama', 'Crime']",278,The Shawshank Redemption,Fear can hold you prisoner. Hope can set you free.
"['Crime', 'Thriller']",9905,Shallow Grave,The award winning thriller that'll bury you with laughs.
"['Drama', 'Thriller']",87078,Suture,A thriller where nothing is black and white.
"['Comedy', 'Drama']",12527,Fresa y chocolate,
"['Crime', 'Comedy']",20306,Swimming with Sharks,Life is not a movie
"['Comedy', 'Drama', 'Romance']",36614,The Sum of Us,We're all just . . . The Sum of Us.
['Comedy'],27993,Senior Trip,Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.
"['Drama', 'Romance', 'War']",31439,活着,
"['Action', 'Comedy', 'Fantasy', 'Science Fiction']",9067,Tank Girl,"In 2033, justice rides a tank and wears lip gloss."
"['Horror', 'Comedy', 'Thriller']",9059,Tales from the Crypt: Demon Knight,Ready for your deadtime story?
