,genres,id,original_title,tagline
45,"['Drama', 'Romance']",11861,How To Make An American Quilt,There's beauty in the patterns of life.
46,"['Crime', 'Mystery', 'Thriller']",807,Se7en,Seven deadly sins. Seven ways to die.
47,"['Adventure', 'Animation', 'Drama', 'Family']",10530,Pocahontas,An American legend comes to life.
48,"['Drama', 'Romance']",8391,When Night Is Falling,
49,"['Drama', 'Crime', 'Thriller']",629,The Usual Suspects,Five Criminals. One Line Up. No Coincidence.
50,"['Action', 'Thriller', 'Drama']",117164,Guardian Angel,She's no angel of mercy.
51,"['Comedy', 'Romance']",11448,Mighty Aphrodite,
52,"['Drama', 'Foreign']",49133,Lamerica,
53,"['Action', 'Adventure', 'Comedy', 'Family']",26441,The Big Green,The biggest kick of the year!
54,['Drama'],97406,Georgia,The toughest act to follow was their dreams.
55,[],124057,Kids of the Round Table,
56,"['Comedy', 'Drama', 'Romance']",9089,Home for the Holidays,We'll do it every year..until we get it right
57,"['Comedy', 'Drama', 'Romance']",11010,Il postino,
58,"['Thriller', 'Drama', 'Mystery']",99040,Le confessionnal,
59,"['Adventure', 'Family', 'Fantasy']",11359,The Indian in the Cupboard,
60,"['Drama', 'Thriller']",17182,Eye for an Eye,What do you do when justice fails?
61,"['Music', 'Drama', 'Family']",2054,Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own."
62,['Comedy'],10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time."
63,"['Comedy', 'Romance']",19760,Two If by Sea,"A new comedy about love, laughter, and larceny"
64,['Comedy'],9536,Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?
65,"['Action', 'Science Fiction']",11525,Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge."
66,"['Drama', 'Family']",40628,Two Bits,You're never too old to believe in a dream. Or too young to make one come true!
67,"['Comedy', 'Romance']",4482,Gazon maudit,
68,['Comedy'],10634,Friday,A lot can go down between thursday and saturday...
69,"['Horror', 'Action', 'Thriller', 'Crime']",755,From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.
70,"['Action', 'Thriller', 'Romance']",11859,Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...
71,"['Comedy', 'Drama', 'Romance']",28387,Kicking and Screaming,Anxiety loves company.
72,"['Drama', 'History']",48750,Les misérables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined."
73,"['Drama', 'Romance']",20927,Bed of Roses,He gave her flowers. She gave him a chance.
74,"['Comedy', 'Family']",36929,Big Bully,A comedy for the kid in all of us.
75,"['Horror', 'Science Fiction']",9102,Screamers,The last scream you hear will be your own.
76,['Documentary'],124626,Nico Icon,
77,"['Drama', 'Thriller']",27526,The Crossing Guard,"...some lives cross, others collide."
78,"['Drama', 'Thriller']",9623,The Juror,There is no defense.
79,"['Family', 'Drama']",46785,بادکنک سفید,
80,"['Drama', 'Crime']",400,Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.
81,"['Drama', 'Comedy']",880,Antonia,A motion picture that celebrates everything you love about life.
82,"['Romance', 'Drama']",146599,Once Upon a Time... When We Were Colored,
83,[],188588,Last Summer in the Hamptons,
84,"['Drama', 'Romance']",8447,Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.
85,"['Action', 'Drama']",10534,White Squall,
86,"['Adventure', 'Comedy', 'Family']",17414,Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.
87,['Comedy'],13997,Black Sheep,There's one in every family.
88,"['Crime', 'Drama', 'Thriller']",2086,Nick of Time,
89,['Drama'],61548,The Journey of August King,
90,"['Drama', 'Horror', 'Thriller', 'Romance']",9095,Mary Reilly,The untold story of Jekyll and Hyde
91,"['Comedy', 'Horror', 'Romance']",12158,Vampire in Brooklyn,A comic tale of horror and seduction.
92,"['Comedy', 'Drama', 'Romance']",9283,Beautiful Girls,"Good times never seemed so good,"
93,"['Action', 'Adventure', 'Drama', 'Thriller']",9208,Broken Arrow,Prepare to Go Ballistic.
94,['Comedy'],40154,A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.
95,['Drama'],406,La Haine,Three Young Friends... One Last Chance.
96,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",45549,Shopping,No one leaves without paying...
97,['Documentary'],63076,Heidi Fleiss: Hollywood Madam,   
98,"['Drama', 'Thriller']",11062,City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.
99,"['Comedy', 'Crime', 'Drama']",13685,Bottle Rocket,"They're not really criminals, but everyone's got to have a dream."
100,"['Comedy', 'Romance']",47475,Mr. Wrong,
101,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",2045,Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.
102,['Comedy'],9614,Happy Gilmore,He doesn't play golf... he destroys it.
103,"['Drama', 'Romance']",688,The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...
104,"['Drama', 'Comedy', 'Family']",11907,Keiner liebt mich,
105,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",10874,Muppet Treasure Island,Set sail for Muppet mayhem!
106,['Documentary'],89333,Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty."
107,['Crime'],96357,Headless Body in Topless Bar,
108,"['Action', 'Drama', 'History', 'War']",197,Braveheart,Every man dies. Not every man truly lives.
109,"['Crime', 'Drama']",103,Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody."
110,"['Crime', 'Action', 'Comedy', 'Thriller']",33542,紅番區,No Fear. No Stuntman. No Equal.
111,"['Drama', 'Thriller']",43566,Before and After,A murder. A suspect. A shadow of a doubt.
112,['Drama'],71754,Margaret's Museum,She found a way to preserve her memories forever.
113,['Comedy'],43612,Le Bonheur est dans le pré,
114,"['Documentary', 'Drama', 'Foreign']",51352,Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?"
115,"['Comedy', 'Crime', 'Drama']",16934,The Young Poisoner's Handbook,
116,"['Comedy', 'Romance']",10324,If Lucy Fell,A comedy for the romantically challenged.
117,"['Comedy', 'Drama']",78406,Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.
118,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",55731,Race the Sun,A dream can make all the difference under the sun.
119,['Drama'],32119,The Boys of St. Vincent,
120,"['Comedy', 'Romance']",11066,Boomerang,A Player Who's About to be Played.
121,"['Drama', 'Comedy', 'Romance']",11104,重慶森林,What a difference a day makes
122,"['Drama', 'Romance']",37975,L'uomo delle stelle,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true..."
123,"['Comedy', 'Romance']",2074,Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen."
124,['Fantasy'],27793,The NeverEnding Story III,It's a brand new beginning in the adventure that never ends
125,['Drama'],44284,صمت القصور,
126,[],290157,Jupiter's Wife,A Haunting Real Life Mystery
127,"['Comedy', 'Romance']",110972,Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.
128,"['Comedy', 'Drama']",32622,Angela,
129,"['Drama', 'Romance', 'War']",73067,Frankie Starlight,Sometimes the brightest star is the one that shines within.
130,"['Action', 'Thriller', 'Mystery', 'Romance']",11863,Jade,Some fantasies go too far.
131,"['Comedy', 'Drama', 'Romance']",55475,Nueba Yol,
132,"['Music', 'Documentary']",124636,Sonic Outlaws,
133,['Comedy'],9101,Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up."
134,['Documentary'],123360,From the Journals of Jean Seberg,
135,['Comedy'],5757,Man of the Year,He as a centerfold who revealed everything ... but the truth.
136,['Drama'],39428,The Neon Bible,
137,[],124639,Target,
138,"['Drama', 'Romance']",9302,Up Close & Personal,"Every Day we Have, is One More Than We Deserve."
139,['Comedy'],11000,The Birdcage,Come as you are.
140,['Drama'],249882,Gospa,
141,"['Comedy', 'Drama', 'Romance']",16388,The Brothers McMullen,Sometimes the Best Friends Are the Ones You've Known Your Whole Life.
142,"['Action', 'Comedy', 'Crime', 'Thriller']",9737,Bad Boys,Whatcha gonna do?
143,"['Action', 'Adventure', 'Drama', 'Family']",30765,The Amazing Panda Adventure,"In the sweeping highlands of China, a boy begins a magical journey to save the life of a natural wonder."
144,"['Drama', 'Crime']",10474,The Basketball Diaries,The true story of the death of innocence and the birth of an artist.
145,"['Romance', 'Drama', 'Comedy']",22279,An Awfully Big Adventure,
146,"['Crime', 'Comedy', 'Drama', 'Thriller']",30157,Amateur,"Accountancy, Murder, Amnesia, Torture, Ecstasy, Understanding, Redemption"
147,['Drama'],568,Apollo 13,"Houston, we have a problem."
148,['Adventure'],11780,Rob Roy,Honor made him a man. Courage made him a hero. History made him a legend.
149,"['Drama', 'Horror']",34996,The Addiction,The dark is their sunlight. What makes them different is what keeps them alive.
150,"['Action', 'Crime', 'Fantasy']",414,Batman Forever,"Courage now, truth always..."
151,"['Drama', 'Romance']",649,Belle de jour,Luis Bunuel's Masterpiece of Erotica!
152,"['Drama', 'Thriller']",1873,Beyond Rangoon,Truth has a witness
153,['Comedy'],5894,Blue in the Face,Welcome to the planet Brooklyn.
154,"['Action', 'Comedy']",1775,Canadian Bacon,"I'll tell ya another thing, their beer sucks!"
155,"['Fantasy', 'Comedy', 'Family']",8839,Casper,Get an afterlife
156,"['Mystery', 'Crime', 'Drama']",20649,Clockers,"When there's murder on the streets, everyone is a suspect."
157,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",10329,Congo,Where you are the endangered species.
158,"['Action', 'Thriller', 'Drama']",8963,Crimson Tide,Danger runs deep.
159,['Documentary'],26564,Crumb,Weird sex · Obsession · Comic books
160,"['Thriller', 'Action', 'Crime']",8068,Desperado,"When the smoke clears, it just means he's reloading."
161,"['Drama', 'Mystery', 'Thriller']",8512,Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.
162,"['Action', 'Thriller']",1572,Die Hard: With a Vengeance,Think fast. Look alive. Die hard.
163,"['Action', 'Comedy', 'Crime', 'Drama']",13552,The Doom Generation,Sex. Violence. Whatever.
164,"['Drama', 'Crime']",259209,Feast of July,There is no escape from the past.
165,"['Action', 'Adventure', 'Drama', 'Romance']",6520,First Knight,Their greatest battle would be for her love.
166,['Adventure'],9073,Free Willy 2 - The Adventure Home,The adventure is back. The fun is back. Willy's back. And this time he's brought his whole family to meet an old friend ... and take on a new challenge.
167,"['Action', 'Crime', 'Thriller', 'Drama']",10428,Hackers,"There is no right or wrong, only fun and boring"
168,"['Comedy', 'Drama', 'Romance']",17447,Jeffrey,Love is an adventure when one of you is sure... and the other is positive.
169,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",9886,Johnny Mnemonic,The hottest data on earth. In the coolest head in town.
170,['Science Fiction'],9482,Judge Dredd,"In the future, one man is the law."
171,"['Comedy', 'Drama']",19326,Jury Duty,For truth. For justice. For five bucks a day.
172,"['Drama', 'Crime']",9344,Kids,
173,"['Drama', 'Comedy']",9071,Living in Oblivion,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!
174,"['Mystery', 'Horror', 'Thriller']",8973,Lord of Illusions,Trust Nothing Except Your Fear.
175,"['Comedy', 'Drama']",15730,Love & Human Remains,
176,"['Drama', 'Family', 'Romance']",47608,Mad Love,A wild and sexy adventure!
177,"['Romance', 'Comedy']",2293,Mallrats,They're not there to shop. They're not there to work. They're just there.
178,"['Action', 'Adventure', 'Science Fiction', 'Family', 'Fantasy']",9070,Mighty Morphin Power Rangers: The Movie,The Power Is On!
179,"['Comedy', 'Drama', 'Romance']",68274,Moonlight and Valentino,"Virginity, sex, the big cry, and other salty topics."
180,"['Thriller', 'Foreign']",48787,Mute Witness,She Can't Speak. She Can't Scream. She Can't Beg For Mercy.
181,"['Horror', 'Thriller']",34574,Nadja,Unseen. Unforgiving. Undead.
182,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Action']",1642,The Net,"No driver's license, no credit cards, no passport, no access to her bank accounts in a foreign country ... She finds her identity stolen."
183,['Comedy'],11472,Nine Months,Ready or Not.
184,['Comedy'],36196,Party Girl,"Sassy, savvy and definitely clued-in!"
185,"['Fantasy', 'Horror', 'Thriller']",11980,The Prophecy,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth."
186,"['Fantasy', 'Comedy', 'Drama']",58372,Reckless,The most twisted Christmas ever.
187,['Drama'],32646,Safe,In the 21st century nobody will be... Safe.
188,"['Drama', 'History', 'Romance']",10533,The Scarlet Letter,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all."
189,['Documentary'],56088,The Show,What Happens On Stage Is Only Half The Story!
190,['Drama'],10802,Showgirls,Beyond your wildest dreams. Beyond your wildest fantasies.
191,"['Comedy', 'Drama']",10149,Smoke,Where there's smoke... there's laughter!
192,['Comedy'],18402,Something to Talk About,"A story about husbands, wives, parents, children and other natural disasters."
193,"['Science Fiction', 'Horror', 'Action']",9348,Species,Our time is up.
194,['Drama'],139408,The Stars Fell on Henrietta,
195,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",281,Strange Days,You know you want it.
196,"['Drama', 'Romance']",5967,Les parapluies de Cherbourg,a film for all the young lovers of the world
197,['Thriller'],79593,The Tie That Binds,
198,"['Drama', 'Fantasy']",47939,Three Wishes,"If you really believe, magic will find you"
199,"['Drama', 'Romance']",36834,Total Eclipse,Touched by Genius. Cursed by Madness. Blinded by Love.
200,['Comedy'],9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Attitude is everything
201,"['Action', 'Thriller']",3512,Under Siege 2: Dark Territory,Last time he rocked the boat. This time the sky's the limit.
202,"['Comedy', 'Drama', 'Family']",52856,Unstrung Heroes,Sometimes you find your heroes in the most unlikely places
203,['Documentary'],77350,Unzipped,
204,"['Drama', 'Romance']",9560,A Walk in the Clouds,A man in search. A woman in need. A story of fate.
205,"['Adventure', 'Action']",9804,Waterworld,Beyond the horizon lies the secret to a new beginning.
206,['Drama'],31611,White Man's Burden,Reality Just Switched Sides
207,"['Action', 'Western']",65796,Wild Bill,The Name Is Legendary. The Man Is Real.
208,['Drama'],49805,The Browning Version,The greatest lessons in the life and the ones learned by heart.
209,"['Adventure', 'Action', 'Comedy', 'Crime', 'Family']",26258,Bushwhacked,"They wanted a great adventure. What they got was ""Mad Max"" Grabelski."
210,['Drama'],50797,Утомлённые солнцем,A moving and poignant story set against the corrupt politics of the Stalinist era.
211,"['Drama', 'War']",19155,Before the Rain,Once You Know The Faces You Will Begin To Understand The Story
212,"['Drama', 'Romance']",76,Before Sunrise,Can the greatest romance of your life last only one night?
213,['Comedy'],11017,Billy Madison,Billy is going back to school... Way back.
214,"['Drama', 'Thriller']",37141,The Babysitter,Something about her captures the imagination.
215,"['Comedy', 'Drama']",9382,Boys on the Side,"A motion picture that celebrates the art of survival, the gift of laughter and the miracle of friendship."
216,"['Drama', 'Family']",6715,The Cure,The best cure for a disease is friendship
217,"['Thriller', 'Drama', 'Horror', 'Mystery']",18256,Castle Freak,Hideous... hungry... and loose!
218,"['Drama', 'Family', 'Romance']",22625,Circle of Friends,
219,['Comedy'],2292,Clerks,Just because they serve you doesn't mean they like you.
220,"['Romance', 'Drama', 'Comedy']",1909,Don Juan DeMarco,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!
221,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",8984,Disclosure,Sex Is Power.
222,['Thriller'],61813,Dream Man,
223,"['Action', 'Adventure', 'Thriller']",4954,Drop Zone,Taking crime to new heights
224,"['Crime', 'Comedy', 'Fantasy']",62488,Destiny Turns on the Radio,Fate visits in ways you never expect
225,"['Drama', 'Thriller', 'Mystery']",10531,Death and the Maiden,Prepare yourself for the moment of truth.
226,"['Crime', 'Drama', 'Mystery']",11929,Dolores Claiborne,"Sometimes, an accident can be an unhappy woman's best friend."
227,['Comedy'],8467,Dumb and Dumber,"What the one doesn't have, the other is missing."
228,"['Comedy', 'Drama', 'Romance']",10451,飲食男女,
229,"['Drama', 'Mystery']",20156,Exotica,"In a world of temptation, obsession is the deadliest desire."
230,"['Thriller', 'Comedy', 'Crime', 'Romance']",18395,Exit to Eden,"To crack this case, these two cops will have to flash more than their badges."
231,"['Comedy', 'Drama', 'History']",522,Ed Wood,"When it came to making bad movies, Ed Wood was the best."
232,"['Comedy', 'Romance']",397,French Kiss,
233,"['Comedy', 'Drama', 'Romance']",10525,Forget Paris,
234,"['Action', 'Adventure', 'Drama', 'Family']",27985,Far from Home: The Adventures of Yellow Dog,Partners in survival. Friends for life.
235,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",15789,A Goofy Movie,It's the story of a father who couldn't be closer...to driving his son crazy.
236,"['Drama', 'Thriller']",27303,Hideaway,He was bought back from the dead... but he didn't come back alone.
237,"['Drama', 'Family', 'Fantasy']",21183,Fluke,Unleash your imagination... and come along on a magical journey. Follow him home.
238,"['History', 'Drama']",10954,Farinelli,Où s'arrête le pouvoir de sa voix?
239,"['Drama', 'Family', 'Fantasy']",47867,Gordy,The talking pig who made it big!
240,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",43475,Gumby: The Movie,The original green hero!
241,"['Drama', 'Action', 'Thriller', 'Crime']",72031,The Glass Shield,In a world filled with violence... his only weapon is the truth!
242,['Documentary'],14275,Hoop Dreams,An Extraordinary True Story.
243,"['Drama', 'Fantasy']",1024,Heavenly Creatures,From a secret world no one could see... came a crime no one could believe.
244,"['Comedy', 'Family']",17207,Houseguest,
245,"['Drama', 'Music', 'Romance']",13701,Immortal Beloved,
246,"['Comedy', 'Family', 'Drama']",14819,Heavyweights,They don't run the fastest. They don't jump the highest. But they sure are getting the last laugh. Heavyweights. They never met a hot dog they didn't like ... until now.
247,"['Action', 'Thriller']",32631,The Hunted,He's trapped in a world where killing is an art and revenge is an obsession
248,"['Comedy', 'Drama', 'Romance']",11777,I.Q.,Think Love.
249,"['Horror', 'Romance']",628,Interview with the Vampire,Drink from me and live forever
250,"['Drama', 'Romance']",87729,Jefferson in Paris,A powerful man torn between his love for one woman and his secret desire for another.
251,"['Comedy', 'Crime']",18713,The Jerky Boys,
252,"['Comedy', 'Family', 'Romance']",6280,Junior,Nothing is inconceivable
253,"['Action', 'Drama', 'Mystery', 'Thriller']",9061,Just Cause,Buried deep in the Florida Everglades is a secret that can save an innocent man or let a killer kill again.
254,"['Adventure', 'Fantasy', 'Comedy', 'Science Fiction', 'Family']",37108,A Kid in King Arthur's Court,Joust Do It.
255,"['Action', 'Crime', 'Drama', 'Thriller']",6071,Kiss of Death,
256,"['Adventure', 'Action', 'Science Fiction']",11,Star Wars,"A long time ago in a galaxy far, far away..."
257,"['Drama', 'Romance']",9587,Little Women,"The story that has lived in our hearts for generations, now comes to the screen for the holidays."
258,"['Drama', 'Family', 'Fantasy']",19101,A Little Princess,Every girl everywhere is a princess.
259,['Drama'],49980,Ladybird Ladybird,
260,"['Crime', 'Drama']",17961,L'Enfer,
261,"['Drama', 'Romance']",18183,Como agua para chocolate,"In Tita's kitchen, ordinary spices become a recipe for passion."
262,"['Adventure', 'Drama', 'Romance', 'War']",4476,Legends of the Fall,After the Fall from Innocence the Legend begins.
263,"['Adventure', 'Comedy', 'Family']",11008,Major Payne,He's looking for a few good men... or a few guys old enough to shave.
264,"['Action', 'Drama']",47504,Little Odessa,Brothers in blood. Partners in crime.
265,"['Crime', 'Drama']",32325,Mi Vida Loca,Mothers. Warriors. Sisters. Survivors.
266,"['Drama', 'Romance']",43742,Love Affair,
267,['Drama'],28313,Losing Isaiah,Who decides what makes a mother?
268,"['Comedy', 'Drama', 'History']",11318,The Madness of King George,
269,"['Drama', 'Horror', 'Science Fiction', 'Romance']",3036,Frankenstein,Be Warned.  It's Alive
270,"['Action', 'Comedy', 'Family']",40490,Man of the House,Jack wants to marry Ben's mother. But there are strings attached.
271,"['Comedy', 'Drama', 'Romance']",24070,Mixed Nuts,
272,"['Comedy', 'Romance']",8986,Milk Money,You can't get enough of a good thing... But first you have to find it.
273,"['Fantasy', 'Drama', 'Family']",10510,Miracle on 34th Street,"If you really believe, anything can happen."
274,"['Comedy', 'Romance']",17402,Miami Rhapsody,Love is great. Marriage is a completely different affair.
275,"['Comedy', 'Drama']",38722,My Family,Three generations of dreams.
276,"['Crime', 'Drama']",8438,Murder in the First,The trial that brought down Alcatraz
277,"['Drama', 'Comedy']",11593,Nobody's Fool,In a town where nothing ever happens... everything is about to happen to Sully.
278,"['Drama', 'Thriller']",1945,Nell,Her heart. Her soul. Her language are a mystery...A mystery called Nell
279,"['Crime', 'Drama']",39310,New Jersey Drive,The Only Thing That Matters Is The Ride
280,"['Action', 'Thriller', 'Crime', 'Drama']",109560,New York Cop,The toughest city in the world deserves the toughest cop.
281,['Horror'],56428,Beyond Bedlam,Psychological Terror Beyond Your Wildest Nightmares
282,"['Science Fiction', 'Action', 'Thriller']",63105,Nemesis 2 - Nebula,The Future Just Got Darker
283,"['Drama', 'Romance']",131957,Nina Takes a Lover,Sometimes you have to break your vow to keep your promise.
284,"['Crime', 'Thriller', 'Drama']",241,Natural Born Killers,The Media Made Them Superstars.
285,"['Comedy', 'Drama', 'Romance']",9058,Only You,A love story written in the stars.
286,['Drama'],527,Once Were Warriors,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."
287,"['Drama', 'Romance', 'Thriller']",18220,Poison Ivy II: Lily,Passion. Seduction. Betrayal. Lily wanted to be just like Ivy.
288,"['Action', 'Drama', 'Science Fiction', 'Thriller']",6950,Outbreak,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.
289,"['Thriller', 'Crime', 'Drama']",101,Léon,"If you want a job done well, hire a professional."
290,"['Comedy', 'Drama', 'Romance']",63020,The Perez Family,"On the way to finding a family, she found love."
291,"['Comedy', 'Drama', 'Romance']",2307,A Pyromaniac's Love Story,
292,"['Thriller', 'Crime']",680,Pulp Fiction,Just because you are a character doesn't mean you have character.
293,['Drama'],41478,Panther,The People Called Them Heroes. The F.B.I. Called Them Public Enemy Number One.
294,"['Comedy', 'Drama']",25296,Pushing Hands,
295,"['Drama', 'Romance']",40156,Priest,"In a world of rituals, in a place of secrets, a man must choose between keeping the faith and exposing the truth."
296,"['History', 'Drama']",11450,Quiz Show,Fifty million people watched but no one saw a thing.
297,"['Drama', 'History']",30304,Picture Bride,
298,"['Drama', 'History']",10452,La Reine Margot,
299,"['Action', 'Western']",12106,The Quick and the Dead,Think you are quick enough?
300,"['Drama', 'Comedy']",161495,Roommates,
301,"['Drama', 'Comedy']",3586,Prêt-à-Porter,"At the world's hottest fashion show, there's been a murder and now everyone's a suspect. If you've got something to hide, you'll need something to wear."
302,"['Drama', 'Mystery', 'Romance']",110,Trois couleurs : Rouge,
303,"['Drama', 'Music', 'Mystery']",108,Trois couleurs : Bleu,
304,"['Comedy', 'Drama', 'Mystery']",109,Trois couleurs : Blanc,
305,['Drama'],159185,Pao Da Shuang Deng,
306,"['Comedy', 'Family', 'TV Movie']",36357,Rent-a-Kid,
307,"['Horror', 'Drama']",92769,Relative Fear,Trusting your children can be deadly.
308,"['Comedy', 'Drama']",28033,Stuart Saves His Family,
309,['Animation'],22586,The Swan Princess,An enchanting classic destined to capture your heart and free your spirit.
310,"['Drama', 'Family', 'Fantasy']",14334,The Secret of Roan Inish,Between land and sea there is a place where myths are real.
