id,popularity,vote_average,vote_count
8839,12.812539,6.0,1045
20649,4.558992,6.8,69
10329,7.260574,5.0,214
8963,8.657365,7.0,508
26564,3.620388,7.6,71
8068,6.950458,6.8,898
8512,4.646132,6.3,88
1572,15.138855,6.9,2094
13552,7.120806,5.6,57
259209,0.523575,0.0,0
6520,15.178338,5.9,319
9073,7.575098,5.5,130
10428,14.810519,6.2,406
17447,3.196456,6.5,19
9886,11.715868,5.5,380
9482,8.184815,5.4,643
19326,3.676921,4.0,34
9344,4.877872,6.8,280
9071,10.058329,7.2,64
8973,4.102409,5.9,87
15730,0.354014,7.0,7
47608,2.624771,5.5,27
2293,8.25547,6.8,400
9070,7.024227,5.2,153
68274,1.01115,5.6,10
48787,2.466066,6.4,36
34574,7.720056,5.9,12
1642,13.304342,5.6,359
11472,8.482834,5.5,171
36196,1.165039,5.8,14
11980,10.187623,6.4,139
58372,0.119713,10.0,1
32646,8.180047,7.2,62
10533,6.752119,5.5,111
56088,0.159596,5.3,2
10802,17.502375,4.9,261
10149,5.552946,7.2,115
18402,3.743212,5.7,60
9348,13.492845,5.5,457
139408,0.913522,6.6,6
281,11.223055,6.8,334
5967,8.133881,7.6,119
79593,1.820419,4.6,9
47939,11.002046,6.1,18
36834,4.546552,6.5,112
9090,7.653446,6.3,117
3512,7.490247,5.6,217
52856,2.881689,6.4,9
77350,0.786023,6.0,6
9560,9.715639,6.5,168
9804,16.885184,5.9,1017
31611,1.834099,5.1,25
65796,8.922139,5.9,27
49805,3.727644,6.0,11
26258,3.287036,4.9,29
50797,2.486073,6.7,35
19155,3.525649,7.7,45
76,11.304979,7.7,984
11017,6.638116,6.2,464
37141,2.761837,4.7,27
9382,3.030309,6.3,48
6715,2.686342,7.2,58
18256,2.26977,5.8,40
22625,2.605521,6.5,30
2292,10.513367,7.4,769
1909,7.438934,6.3,184
8984,11.812244,5.9,217
61813,0.155859,2.5,1
4954,9.579155,5.1,91
62488,0.710671,5.3,9
10531,5.484156,7.1,92
11929,5.8025,7.1,183
8467,9.844558,6.5,1894
10451,4.860016,7.5,76
20156,5.378467,6.5,64
18395,4.322726,4.3,28
522,11.720358,7.3,639
397,9.146544,6.2,179
10525,16.236745,6.1,38
27985,2.657337,5.6,27
15789,10.177977,6.7,404
27303,8.182165,5.0,24
21183,4.953936,6.6,48
10954,8.935058,5.9,20
47867,0.398924,3.0,4
43475,0.090452,5.0,2
72031,1.012197,5.4,9
14275,9.47666,7.7,91
1024,9.438042,6.9,299
17207,2.688562,6.0,17
13701,7.983666,6.9,90
14819,9.546707,6.0,97
32631,2.756986,6.0,25
11777,5.146352,5.9,112
628,11.970205,7.2,1558
87729,1.596058,5.2,10
18713,0.748846,4.8,10
6280,6.710215,4.7,381
9061,9.195256,6.0,124
37108,5.874511,4.3,40
6071,7.797512,5.7,83
11,42.149697,8.1,6778
9587,9.774994,7.0,222
19101,7.731725,7.4,207
49980,0.84508,7.4,14
17961,1.948315,6.6,22
18183,4.126083,6.6,70
4476,12.199047,7.2,636
11008,9.253362,6.1,164
47504,1.861292,6.4,31
32325,1.788829,5.7,9
43742,3.290192,4.3,11
28313,7.698526,6.4,28
11318,4.81307,6.7,67
3036,14.287753,6.1,272
40490,2.558118,5.1,40
24070,2.899608,5.2,37
8986,3.770115,5.6,49
10510,5.831622,6.4,199
17402,1.137266,5.6,7
38722,3.121288,7.0,11
8438,9.518564,6.9,140
11593,2.891269,7.0,56
1945,5.930957,6.1,128
39310,0.629955,6.9,7
109560,0.004537,0.0,0
56428,0.426952,4.0,4
63105,1.466491,4.6,10
131957,0.769522,7.4,4
241,11.226856,6.9,927
9058,4.936761,6.4,92
527,4.025276,7.6,106
18220,6.448039,4.6,32
6950,13.676444,6.4,522
101,20.477329,8.2,4293
63020,1.433544,6.6,9
2307,0.463307,7.0,2
680,140.950236,8.3,8670
41478,7.160149,6.4,6
25296,1.638622,6.1,9
40156,1.881932,6.4,32
11450,7.772505,7.1,262
30304,1.296912,7.4,5
10452,4.405405,7.0,67
12106,7.54701,6.2,431
161495,3.395867,6.4,7
3586,6.259433,5.3,33
110,7.832755,7.8,246
108,8.843517,7.7,311
109,6.5898,7.3,218
159185,0.078257,7.0,2
36357,1.155255,5.1,15
92769,0.499601,4.7,3
28033,1.390885,5.0,6
22586,8.910462,6.5,251
14334,1.750481,6.1,15
2636,10.388183,5.5,317
2164,13.328924,6.8,942
11395,9.665424,6.3,501
278,51.645403,8.5,8358
9905,8.223026,7.0,247
87078,1.298224,6.0,7
12527,1.777197,7.1,16
20306,5.869261,6.7,104
36614,1.407427,6.0,21
27993,5.05806,5.7,23
31439,5.260627,7.7,62
9067,7.602087,5.5,140
9059,9.455342,6.7,96
193,8.105708,6.4,461
25066,2.86007,5.4,33
46797,0.704204,5.8,8
12122,6.529879,5.6,165
11381,11.971318,6.8,321
32636,7.039846,6.1,15
36141,2.059771,5.6,15
95963,0.620873,6.6,4
1587,10.3919,7.5,943
9271,5.188399,5.4,163
2064,15.783615,6.5,340
19855,3.908596,6.3,39
60855,0.372239,5.5,2
236,5.254847,6.9,104
48287,2.15805,5.3,23
3049,11.247957,6.4,1684
2759,8.328596,7.2,174
12635,2.487951,6.2,37
10497,11.298195,7.0,115
11382,5.72288,7.0,130
9331,7.513245,6.4,390
10731,15.263829,6.4,287
10464,6.924689,6.4,83
34152,2.533022,6.7,31
9495,15.799336,7.3,980
29973,2.583363,6.1,29
888,15.019586,5.0,559
13,48.307194,8.2,8147
712,8.990345,6.6,654
16295,7.817811,6.4,49
48992,0.289295,6.3,4
10879,3.570874,5.3,41
10660,11.272073,6.1,154
10714,10.714235,5.9,107
41647,0.568884,7.3,5
8587,21.605761,8.0,5520
1689,5.681522,6.0,76
11596,9.860522,6.4,297
854,14.13488,6.6,2550
9359,15.050326,6.6,490
23333,4.739054,6.3,20
36593,10.587232,6.4,535
12280,4.006063,6.1,40
2788,6.514592,6.5,180
10427,5.137903,6.4,71
11011,6.595255,5.4,426
49803,4.931565,4.9,7
8987,10.511241,6.1,214
1637,10.859292,6.8,1814
15128,2.334226,5.5,24
8831,8.907074,5.5,288
36955,11.396099,6.8,1138
10449,4.322544,6.0,71
10395,14.063845,6.0,221
12160,9.277147,6.5,203
40480,0.912415,4.9,12
52038,0.406113,6.5,2
29444,2.504529,6.1,22
26352,3.021526,6.0,31
39953,0.054148,2.0,1
41580,0.934312,5.9,9
315,4.220541,6.5,59
22067,0.912909,5.9,9
18242,0.381704,7.1,8
11667,13.58449,4.1,330
32502,2.342756,6.7,13
267188,0.251223,0.0,0
28732,1.108494,6.3,6
75555,0.268043,3.4,7
42981,0.142357,7.5,4
278939,0.405392,10.0,1
291731,0.014925,0.0,0
226229,0.302957,4.0,1
203119,0.012456,0.0,0
172923,0.233376,5.0,1
316098,0.0368,4.0,1
8011,6.866634,4.5,110
171857,0.100685,5.0,2
2654,8.497643,7.1,307
18069,1.888534,7.2,22
19092,4.38154,6.7,40
2758,17.555909,6.5,537
38129,0.394194,4.5,4
10436,8.013617,7.0,172
13595,7.09232,5.8,222
46094,1.896273,5.1,42
9409,12.967239,4.9,58
11853,14.644772,4.6,61
16771,1.632711,6.6,20
46924,2.783872,5.0,15
11041,5.673735,5.0,86
306,11.787784,5.5,445
14522,8.398845,6.6,68
26203,3.00282,6.3,45
178,13.155071,6.0,126
19819,6.131056,5.7,41
57834,4.993829,6.1,28
4722,6.559693,5.8,102
18215,4.304224,4.5,59
1607,6.115628,7.4,447
26391,1.679042,4.9,28
117553,1.316741,3.7,10
6075,8.698509,7.7,805
11310,8.605703,4.9,103
18658,2.724621,5.7,25
9350,9.830853,6.1,600
9612,10.722729,4.8,228
2124,14.228963,5.4,117
26261,7.042878,5.0,36
19176,4.286279,5.1,38
49299,2.70097,5.4,9
11566,13.696394,6.3,205
9571,6.8652,7.4,588
9739,11.626116,6.4,1018
24257,0.408159,7.1,12
34444,2.970724,4.2,29
26141,3.555139,5.4,37
10997,4.875827,7.8,98
50463,1.344876,3.3,6
10443,9.284624,6.8,80
20239,0.985441,5.8,11
16297,2.969003,6.1,54
18551,1.896869,6.2,22
25440,0.409427,4.3,3
9024,8.468869,5.7,77
37233,9.678367,6.6,513
1634,5.990572,6.0,429
13815,3.970215,7.6,56
5503,10.08937,7.2,1240
35588,4.653462,5.9,44
2087,14.214403,5.4,81
41579,2.410545,4.5,43
18620,0.775898,3.9,5
41006,5.22583,5.2,11
4916,5.385108,5.6,21
2019,7.834351,6.1,237
31642,4.190541,6.4,51
9255,13.482371,6.2,463
26271,2.138959,4.7,12
10612,5.331753,6.1,83
2259,10.687795,6.7,135
16097,0.996047,4.6,11
11934,7.550545,7.1,280
106143,1.742974,5.7,18
12475,6.071466,4.7,54
9386,12.637158,6.8,392
7984,7.405895,7.6,363
59930,0.613335,3.9,5
15765,14.820883,6.9,75
31643,4.563989,4.6,17
6,5.538671,6.4,79
329,8.863776,7.6,4956
10909,8.4337,6.5,209
507,4.948569,6.1,111
34024,4.375347,6.4,33
29918,3.645342,6.1,54
9593,9.434006,6.1,725
42580,6.446229,5.1,24
22317,2.913584,5.7,40
1413,6.516976,6.6,35
12121,5.43085,5.3,86
2246,9.861672,5.9,105
10502,5.997712,6.2,125
10440,8.939404,7.1,169
9516,5.260924,7.2,179
2320,13.106291,5.8,261
5879,8.932494,6.5,112
83718,0.534606,7.0,7
11971,8.62724,7.2,194
2625,6.579753,5.9,35
31911,13.011091,5.5,11
788,11.16553,7.0,1638
21450,8.665198,7.5,105
11231,9.9697,4.8,202
41588,0.596207,4.8,5
10447,9.715187,6.1,86
31586,15.534707,4.8,67
9300,3.800785,6.7,53
9559,8.040589,7.2,376
9800,13.373006,7.6,1019
713,7.436758,7.1,290
8291,6.972599,6.9,47
18133,3.199976,6.0,28
25557,7.272296,5.6,41
22588,8.506727,5.8,12
10872,5.868677,6.7,99
1245,12.222576,7.5,213
11858,4.985157,5.9,83
7007,6.279082,5.8,188
10467,3.416181,5.5,43
5550,8.685798,4.2,309
8005,17.136672,6.4,575
2088,9.796318,5.7,36
10412,5.157926,6.6,126
47889,0.941994,5.6,10
14534,5.914833,7.2,187
56583,1.065843,4.0,5
41878,1.031556,6.2,11
424,41.725123,8.3,4436
35233,5.715608,5.3,37
14291,12.048587,7.3,100
103413,0.882596,5.9,8
11236,6.499523,7.1,232
11592,5.305311,6.4,137
8850,7.881107,5.4,140
10445,2.96586,6.8,61
695,8.829337,6.9,136
43535,4.13516,5.7,26
12519,2.86213,5.2,31
23210,8.730025,6.5,75
858,10.234919,6.5,630
867,11.23297,4.9,144
78,96.272374,7.9,3833
13203,9.122718,5.6,81
10442,8.051914,6.1,131
11074,13.390917,5.4,223
33367,1.825468,4.0,4
9607,7.198455,4.0,236
17585,3.644641,6.1,53
9057,8.012225,5.0,82
20967,0.873068,7.4,9
10635,10.82236,6.3,57
9479,17.730913,7.6,2135
10057,6.34785,6.2,219
11969,11.338194,7.4,632
41590,0.85586,5.5,5
319,17.189328,7.5,762
26408,1.273617,7.3,19
15139,7.436001,6.2,178
161158,0.741522,6.0,2
218473,0.38247,0.0,1
85247,0.422224,3.0,2
11446,5.14056,6.9,103
51980,2.759302,6.3,43
24405,9.85327,4.7,22
11655,5.513024,6.4,153
11800,0.449733,4.0,3
8223,3.647321,6.8,58
14587,0.441585,5.1,10
31504,1.960563,6.0,20
41653,1.764582,6.2,10
53185,0.00015,0.0,0
95743,0.002789,0.0,0
23637,3.456868,7.2,74
17600,2.799575,5.3,29
10897,6.707109,6.3,214
349394,8.2E-05,0.0,0
21352,3.139316,5.0,31
68806,0.046196,5.0,5
37345,1.943323,4.4,5
32562,6.784687,7.0,24
47507,1.040873,6.8,4
25403,2.904734,6.9,46
124304,1.213481,6.0,1
9066,4.233092,5.9,87
771,0.702543,7.1,2487
251,11.945397,6.9,1381
812,16.357419,7.4,3495
280,22.661695,7.7,4274
581,11.654349,7.6,1084
80350,0.426887,6.3,4
268,19.10673,7.0,2145
274,4.307222,8.1,4549
408,16.263878,6.9,1973
10020,23.433511,7.5,3029
10895,14.202284,6.9,1412
114,13.348451,7.0,1807
41043,0.345748,6.0,6
576,11.722424,7.7,266
15477,3.40523,5.5,15
59146,0.088451,6.5,1
124472,0.076352,7.0,2
30528,2.47308,6.1,20
7300,7.009946,6.1,160
10824,4.983552,5.0,64
261246,1.461029,5.0,1
275,12.61469,7.7,2080
25059,14.657754,6.0,105
11827,7.640073,6.3,150
8766,5.263187,4.9,111
23570,8.174116,4.6,30
47333,2.420301,7.1,51
54850,0.618066,4.0,3
51242,1.306628,7.1,10
10112,9.834047,7.1,1287
4307,2.286788,6.9,43
46029,1.620174,5.1,24
32308,5.174212,3.6,24
88893,0.736081,7.5,4
52873,0.516924,6.4,4
123505,0.173207,5.0,1
340210,0.793932,4.7,3
44281,1.983301,7.4,5
28121,2.256747,5.7,15
12520,4.619915,6.5,82
1592,10.326213,7.4,644
166901,0.065827,6.0,1
36447,1.67218,5.4,5
19042,5.028897,5.0,50
38884,6.144235,7.0,53
47449,0.466476,6.6,5
36259,2.583686,3.6,17
41852,6.207993,5.6,14
40926,0.319215,3.0,3
9099,5.70904,5.5,96
2021,1.523446,5.1,10
61752,4.405169,5.7,17
10988,4.530079,5.4,74
11479,4.728163,6.0,145
398959,0.149157,5.0,1
287305,0.066123,4.0,1
339428,0.002229,0.0,0
12652,1.784647,7.1,16
10684,11.595316,6.2,240
954,15.793477,6.7,2677
68445,0.494977,7.7,6
18989,2.337263,6.2,19
10801,0.821299,5.3,7
54285,0.396626,6.2,10
8840,23.63659,6.4,553
278978,0.439989,0.0,0
124625,0.622885,0.0,0
11107,3.09233,5.4,46
16417,1.558066,6.0,4
70934,0.002444,0.0,0
10363,3.804493,7.3,73
161070,0.987434,5.3,3
10539,13.217623,6.2,375
10543,6.954926,6.1,157
18414,2.299851,5.9,26
47502,1.296862,4.8,4
11902,14.587894,7.5,143
27098,3.582047,6.1,23
25087,3.085207,5.2,23
5801,3.900709,7.9,63
896,2.381806,8.2,40
3065,2.985163,7.0,71
318177,0.001662,0.0,0
2300,11.054251,6.5,1335
8069,14.304205,5.7,149
288173,0.062388,8.0,1
187851,0.466991,5.5,1
27768,0.459376,7.5,8
221917,0.117662,8.0,2
8072,4.658149,6.8,100
35797,2.272213,6.8,21
88030,0.18343,7.5,4
185191,0.004117,0.0,0
83857,0.400023,5.8,9
33245,2.791667,6.2,9
124460,0.487357,8.0,1
27281,4.357971,4.7,37
105045,0.122178,5.0,1
40001,9.1861,5.5,26
29621,1.899069,3.9,18
117730,0.71066,6.5,2
20762,10.68537,5.8,60
37144,1.217249,5.1,7
48260,0.877853,7.4,5
12656,10.298582,5.5,29
38867,1.099187,3.3,5
277270,0.006854,0.0,0
25969,2.25008,6.8,24
44103,0.755047,6.7,15
753,7.918418,7.1,36
43634,1.579153,5.3,11
9103,7.941972,5.3,126
90214,0.947007,7.1,9
29649,1.231692,5.1,7
10990,5.79463,6.2,73
8866,5.121203,5.7,86
12233,10.813579,6.5,372
23449,1.940747,4.9,35
36355,4.557006,5.3,85
37667,1.926109,6.0,10
90148,0.709209,4.4,11
922,6.505272,7.2,397
11876,1.690768,6.7,25
52633,6.035166,6.6,27
62364,1.133409,5.5,5
11687,7.326169,7.1,433
9304,8.768806,5.5,158
73183,0.037443,10.0,1
131232,0.003949,0.0,0
9100,12.860385,6.3,388
20759,3.321765,5.1,29
46063,1.196686,5.6,9
365371,0.005625,0.0,0
32513,1.92386,7.0,21
40651,0.543042,7.7,11
36915,9.264679,5.0,17
40507,0.343579,5.5,5
9802,13.249824,6.9,1474
25697,0.746662,5.5,6
21588,6.247819,7.0,105
664,8.739144,6.1,966
11867,5.877599,3.9,117
47119,0.125882,5.0,1
314352,0.652621,0.0,0
9323,10.686166,7.8,854
10280,4.856229,5.5,125
10535,8.202057,4.9,148
124613,0.594716,0.0,0
532,6.796858,7.5,223
26744,4.386329,6.6,33
16299,1.751457,4.2,22
10547,6.497591,6.1,200
245268,0.068254,0.0,0
935,9.80398,8.0,1472
55613,0.160571,7.8,4
215107,0.75,0.0,0
41007,0.851078,7.2,7
35645,5.508101,5.8,20
110465,1.048075,7.0,5
255546,0.146287,10.0,1
40751,5.215992,7.1,73
275096,0.401531,8.0,3
85778,0.001608,0.0,0
11101,7.667284,7.4,116
9826,8.079541,4.7,138
9879,11.341502,4.4,210
63564,1.427756,5.7,15
22621,0.889498,7.7,11
7095,6.287245,5.9,340
26890,2.771201,6.1,32
46732,0.365418,6.1,4
124633,0.099602,0.0,0
202425,0.514363,6.5,2
196940,0.011938,5.0,1
77771,0.043903,7.3,10
181083,0.049573,5.0,1
41225,1.794298,5.5,24
188589,0.001687,0.0,0
87190,0.837911,6.3,5
627,19.348466,7.8,2737
32872,2.700061,3.9,4
602,17.634197,6.7,3334
14553,6.418805,6.6,99
9566,12.202063,5.7,202
10545,13.553999,6.8,1182
9894,7.586577,5.7,603
11543,11.633347,6.7,248
9268,6.919314,5.6,553
52059,0.10705,6.7,3
9327,9.651581,5.4,717
123763,0.202495,6.8,3
81949,0.826372,7.2,6
42005,0.043125,0.0,0
124306,0.000308,8.0,1
183955,0.05956,7.0,1
44535,0.970688,5.1,2
44495,0.147662,6.3,3
78285,0.573423,0.0,0
11228,11.995799,5.8,385
10779,12.09096,6.7,413
26748,9.069963,6.9,79
38223,4.086563,5.7,47
9294,5.575992,6.2,328
49963,0.913281,6.6,8
11363,10.827266,5.7,71
1645,13.309013,7.0,522
31546,7.031279,6.2,9
77056,0.227128,6.5,4
36344,2.318141,5.2,32
18550,3.906949,5.2,49
11511,8.962892,3.6,60
172198,0.091984,6.0,1
34170,3.521921,5.4,35
281085,1.56604,6.0,2
109478,0.926867,4.0,1
124645,0.145092,7.0,2
12606,9.898696,5.8,42
69895,0.036699,6.0,1
35206,1.116063,7.4,8
151489,0.270432,6.5,2
4837,1.683348,6.5,25
12632,0.000578,6.3,4
9098,1.165202,5.2,9
282919,0.106345,4.0,1
124614,1.606957,6.5,6
18975,7.523528,5.0,55
11962,9.490858,5.0,87
2925,10.177303,6.5,172
28628,0.940228,7.2,10
3595,8.772188,6.4,482
9308,4.220058,5.4,51
92381,0.879852,5.4,8
18555,3.186891,6.3,30
12123,15.874491,5.3,291
10830,10.034915,6.9,892
3573,6.593011,6.7,152
10546,6.554679,5.2,119
18862,12.297782,5.0,32
31417,9.935891,7.5,130
9431,3.450402,5.0,63
124619,0.042365,7.0,1
297645,0.001652,0.0,0
48144,0.076062,7.0,2
46986,1.663948,7.5,4
144982,0.404501,5.0,1
47907,1.19589,6.8,17
10061,12.229381,5.6,381
36266,1.781952,6.8,23
549,4.797674,6.6,97
10478,6.24966,5.9,152
66634,0.124273,6.0,1
116690,0.969254,6.4,12
213917,0.629807,6.0,2
145925,0.03537,6.0,1
100914,0.036478,5.0,1
238,41.109264,8.5,6024
159,8.593319,6.1,34
11134,6.751864,6.7,109
88224,1.143656,6.3,9
132641,0.096079,0.0,0
42758,0.90913,6.4,10
9303,12.449574,6.9,203
23945,3.714049,4.9,17
37820,0.913987,6.1,7
22479,5.130136,6.1,13
9054,2.289647,4.7,48
241058,0.14315,4.0,2
11985,1.404588,7.3,16
10232,0.364246,4.0,2
59569,0.705136,6.3,10
410921,0.001771,0.0,0
38955,1.262539,5.8,12
110513,0.635669,5.2,3
114089,0.109406,7.7,3
11015,7.699967,5.8,130
9306,12.725343,4.6,148
12559,6.510437,5.3,28
58770,9.028947,6.6,18
124851,0.234665,5.0,2
3587,2.523605,5.4,46
10723,7.859132,5.4,164
56077,0.978989,6.8,4
19004,6.372442,6.1,86
101230,0.062128,5.0,1
253632,0.437895,0.0,0
10987,8.768288,5.0,173
44705,4.69668,7.0,22
20318,6.038784,7.1,13
43596,0.472479,6.3,8
79782,0.14713,7.5,4
26933,2.115268,7.4,18
27854,14.373861,6.1,41
981,8.888069,7.7,196
872,11.064858,7.9,747
2769,5.565203,6.9,133
13320,5.461487,7.0,162
164,10.879289,7.6,1082
426,18.20822,8.0,1162
567,17.911314,8.2,1531
3078,6.465257,7.7,283
13528,14.545058,7.2,73
28288,2.863935,7.2,17
213,12.410427,7.8,1062
284,11.994281,8.1,498
239,11.845107,8.0,835
4808,7.098731,7.7,351
289,13.916101,7.9,1462
963,5.782544,7.8,435
11113,12.494394,7.4,361
6620,7.359741,7.4,284
804,11.954806,7.8,502
26531,5.640722,7.0,22
909,7.331511,6.8,66
630,22.064932,7.4,1689
770,14.240357,7.7,995
31044,2.923672,7.1,35
599,11.709777,8.2,533
15,15.811921,8.0,1244
62,22.494622,7.9,3075
121357,0.949155,4.8,3
705,12.06308,8.0,367
22490,5.076649,6.4,26
223,8.590813,7.7,346
25670,9.955445,7.0,86
303,10.135111,7.8,345
4174,5.47596,7.3,166
8356,9.813419,7.1,101
381,5.490505,7.1,299
20758,2.469167,6.6,43
29376,3.573935,7.1,46
1859,5.120036,7.3,77
18299,8.196679,7.3,55
17281,10.36311,6.1,68
64382,1.954175,6.6,11
10907,10.685036,7.6,170
32093,7.431939,7.1,39
1939,9.884516,7.6,173
22292,3.008607,7.3,59
3598,3.166544,6.8,42
3080,7.122093,7.4,62
198,7.274948,7.7,119
13562,5.480098,7.7,69
1712,10.864284,7.5,169
220,6.42883,7.5,163
3529,10.573867,7.4,97
3085,9.88321,7.5,171
2897,6.164226,6.5,85
1585,15.031588,8.0,1103
3083,8.168694,7.9,245
900,6.60577,7.6,201
43795,2.446972,6.4,23
85638,0.284522,8.3,4
50001,0.264695,5.0,7
43905,1.831221,6.4,26
22688,0.594433,5.7,6
23114,4.709847,6.6,13
26378,1.758391,5.6,8
40206,0.896505,6.2,17
22356,8.08426,6.6,27
260,5.865697,7.4,217
43488,8.85591,5.2,14
22613,1.450989,4.9,16
10331,14.384198,7.5,591
488,6.636872,7.4,232
22733,2.001733,6.2,31
261,11.794846,7.6,168
57575,0.912955,5.1,9
32574,10.750619,7.3,52
22657,0.348765,5.8,6
76464,0.367546,3.8,2
22649,1.914697,6.2,29
176841,0.283269,6.0,1
125587,0.064512,4.0,1
39448,1.060097,7.4,11
52855,1.463219,5.0,8
39940,8.500509,6.7,19
172868,0.580724,0.0,0
85328,0.537795,5.3,2
124632,0.00264,0.0,0
11076,5.511155,6.6,114
63945,1.262649,4.8,6
58985,9.364418,6.5,15
890,0.751733,6.8,6
10861,7.370163,5.3,104
1770,6.728199,6.8,98
44465,6.746475,4.9,11
2033,1.226688,0.0,0
18203,2.702973,6.8,45
9333,11.845918,6.2,263
47260,1.625873,6.5,5
9400,6.85606,6.9,66
9401,4.989276,5.9,73
12241,2.781581,6.2,29
25739,0.000308,6.0,3
161806,0.550278,3.0,1
11306,4.990506,5.7,80
9625,5.918737,4.7,102
10680,5.511475,5.3,99
6346,3.998494,5.9,62
18660,4.040945,6.6,34
35115,5.497359,5.9,14
14821,7.151691,6.5,60
14136,10.091707,6.0,126
10869,4.914603,5.9,77
22660,12.887829,7.0,68
19186,5.807074,6.8,92
31102,3.254308,6.9,50
6878,7.186506,6.6,218
15944,3.404213,6.2,22
18444,4.623089,7.0,88
20723,2.803679,6.4,28
173,8.722406,6.9,160
864,8.30721,6.8,510
24795,10.892812,5.7,124
11224,14.436858,6.8,1760
81310,1.054814,7.8,20
15947,8.702472,6.2,108
9078,10.636458,6.9,935
29682,0.901443,6.3,5
8367,10.639244,6.6,937
433,15.11549,7.4,1217
